연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,08,23527,래미안포레아파트래미안포레아파트래미안포레아파트,236,1939,808,1042,2010,660,381.32299620000003,112.42846886999999
2020,08,23528,세곡2지구3.4단지세곡2지구3.4단지세곡2지구3.4단지,353,3016,2184,2788,5176,2500,381.3314016,112.43047340999999
2020,08,23529,도곡한신아파트도곡한신아파트,71,1396,626,568,1003,280,254.082644,74.97390312
2020,08,23530,강남더샵라르고오피스텔강남더샵라르고오피스텔강남더샵라르고오피스텔강남더샵라르고오피스텔,446,7172,3278,4456,11769,5041,508.4192432,149.90094976
2020,08,23531,한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페한남대교전망카페,1499,5773,3948,4833,8919,4620,1524.1898363999999,450.29147772
2020,08,23532,서울의료원후문서울의료원후문,0,693,299,293,553,195,254.1338902,75.02569096
2020,08,23533,구룡마을구룡마을구룡마을,74,1237,740,725,801,246,381.1869345,112.43333849999999
2020,08,23536,학동역,0,403,305,486,1367,186,127.0299808,37.51537386
2020,08,23537,은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에은곡마을.강남신동아파밀리에,1612,13407,6211,7309,12263,4344,1016.8198312,299.72136792
2020,08,23538,강남현대힐스테이트에코강남현대힐스테이트에코강남현대힐스테이트에코강남현대힐스테이트에코강남현대힐스테이트에코,692,13036,4514,4478,6816,2331,635.524461,187.37596585
2020,08,23540,국악중고교,5,1420,1028,1375,1994,453,127.0505042,37.47545062
2020,08,23541,상록수아파트후문,0,272,129,122,167,29,127.0820463,37.48291996
2020,08,23543,대왕초등학교대왕초등학교대왕초등학교,105,2124,1019,1203,1344,310,381.3183024,112.39447913999999
2020,08,23544,수서역5번출구.이마트앞수서역5번출구.이마트앞수서역5번출구.이마트앞수서역5번출구.이마트앞,377,34268,13449,14143,19593,3819,508.4097004,149.9465654
2020,08,23545,달터공원,11,2500,1076,1155,1664,286,127.0495377,37.47647183
2020,08,23546,일원역,0,12520,3445,2210,2936,1290,127.0836701,37.48426267
2020,08,23552,삼성서울병원정문,0,934,517,423,442,225,127.0830368,37.48619798
